name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zipcode,2020_Number_of_Units,2020_Occupied_Units,2020_Vacant_Units,2020_Median_Rooms,2020_Median_Value,2020_Median_Monthly Costs,2020_Median_Rent,2020_Owner_Occupied_Units,2015_Number_of_Units,2015_Occupied_Units,2015_Vacant_Units,2015_Median_Rooms,2015_Median_Value,2015_Median_Monthly Costs,2015_Median_Rent,2015_Owner_Occupied_Units,2020_Median_Household_Income,2020_Median_Family_Income,2015_Median_Household_Income,2015_Median_Family_Income
Short North Townhome,138788819,Dustin,,Near North/University,39.97738,-83.00063,Entire home/apt,115,2,79,2022-09-05,2.34,1,10,37,2019-3452,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Almost Bexley Cozy Corner Room 2 Near Airport,25476736,Sara,,Eastmoor/Walnut Ridge,39.9657,-82.92339,Private room,59,1,7,2022-07-14,0.69,3,150,7,2021-2356,43209,"12,965","11,990",975,5.8,"284,300","1,780",885,"6,785","12,594","11,566","1,028",5.7,"206,000","1,594",790,"6,527","69,290","102,500","53,134","88,976"
Private Parking_OSU/ExpoCenter Renovated 2story 7C,249951812,Jessie,,Near North/University,39.99484,-82.99777,Entire home/apt,92,1,168,2022-09-18,4.87,19,89,67,2021-3141,43211,"10,296","8,714","1,582",5.2,"58,200",795,871,"3,464","10,527","8,079","2,448",5.3,"57,500",853,762,"3,022","28,610","32,010","23,710","25,253"
Charming 3BR w/King Bed-Walkable OSU/Short North,310199607,Lauren,,Near North/University,39.98582,-83.01258,Entire home/apt,270,1,127,2022-09-18,3.69,1,72,50,2022-2528,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Sparkling 3BR/Remodeled/Walk to Campus+Short North,310208501,Adam,,Near North/University,39.9936,-83.00121,Entire home/apt,361,1,55,2022-09-18,1.6,1,58,28,2019-3493,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
"The Music Box - Comfy, Clean and Centrally Located",136995607,Paige,,Near North/University,40.01577,-83.00362,Entire home/apt,55,1,22,2020-03-18,0.66,1,29,0,2019-3545,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Private Backyard | Gas Grill | Close to All!,8963103,Sarah,,Near North/University,39.98134,-83.00799,Entire home/apt,259,2,49,2022-09-14,1.59,33,227,31,2021-2991,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Short North Studio with off-street parking,71666929,August,,Near North/University,39.98333,-83.00679,Entire home/apt,59,7,82,2022-09-05,2.38,3,220,17,2019-3474,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
PrivateParking/Entrance_OSU/ExpoCentr 9D Renovated,249951812,Jessie,,Near North/University,39.99524,-82.99541,Entire home/apt,90,1,120,2022-09-11,3.48,19,106,39,2021-3143,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Breezy Balconies, Ideal Location, Victorian View",311158587,Tara,,Near North/University,39.98194122,-83.01039124,Entire home/apt,258,2,0,,,2,167,0,2022-2125,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"#2 Near Mapfre, OSU, Hospitals, Arenas & Downtown",1395861,Happy To Host,,Near North/University,40.01634,-82.99991,Entire home/apt,191,2,44,2022-09-04,1.33,4,346,27,2019-3519,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Short North Kennels - PUNK SUITE,286705292,Jon,,Near North/University,39.98665,-83.00651,Entire home/apt,215,1,200,2022-09-18,6.26,2,323,85,Exempt,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"#1 Near Mapfre, OSU, Hospitals, Arenas & Downtown",1395861,Happy To Host,,Near North/University,40.01618,-82.99859,Entire home/apt,191,2,30,2022-09-18,0.98,4,343,15,2019-3517,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Private Parking_OSU/ExpoCenter Renovated 2story 9C,249951812,Jessie,,Near North/University,39.99513,-82.99531,Entire home/apt,90,1,144,2022-09-16,4.42,19,98,50,2021-3138,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
PrivateParking/Entrance_OSU/ExpoCentr 9E Renovated,249951812,Jessie,,Near North/University,39.99535,-82.9974,Entire home/apt,90,1,137,2022-09-11,4.01,19,100,47,2021-3144,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Cozy 2BR apt- by major Hospitals, OSU & Dwntwn",239636585,Raimeca,,Eastland/Brice,39.92523,-82.89185,Entire home/apt,99,2,11,2022-09-04,1.33,1,361,11,2021-3361,43232,"19,588","18,329","1,259",5.2,"104,700","1,129",864,"7,304","20,267","17,430","2,837",5.0,"93,000","1,126",737,"7,233","42,592","47,221","36,425","42,005"
House of M.U.S.I.C,16184897,Toya,,Near South,39.95064,-82.97449,Entire home/apt,85,30,21,2021-09-14,0.63,5,0,0,2019-3288,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Shellee's Place,97226662,Shellee,,Near East,39.96602,-82.97068,Entire home/apt,129,2,41,2022-04-04,1.3,1,89,10,2020-1166,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
💎Jewel Of Polaris 💎 Perfect For Long Stays - Washer/Dryer + Gym + Pool!,27280979,Jesse,,Far North,40.14146,-82.95468,Entire home/apt,115,28,17,2022-01-13,0.5,37,284,2,,43240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
The Short North Retreat III - Free Private Parking,194281106,Nicole,,Near North/University,39.98173,-83.00412,Entire home/apt,106,1,203,2022-09-16,6.02,23,163,93,2021-3028,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Cozy, Private Room Near Dwntwn & Children’s Hosp",39227328,Chantel,,Near South,39.93239,-82.95513,Private room,42,30,24,2021-07-21,0.71,2,55,0,2019-3510,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
"Snug, Private Room Near Downtown & Children’s Hosp",39227328,Chantel,,Near South,39.93208,-82.95443,Private room,42,7,18,2022-04-30,0.54,2,56,4,2019-3510,43207,"20,799","18,656","2,143",5.4,"102,700","1,087",908,"11,435","20,172","17,185","2,987",5.3,"84,600","1,039",821,"9,933","50,582","62,298","38,842","45,006"
Home Away from Home In Quiet Neighborhood,83430852,Chase,,Clintonville,40.06605,-83.01119,Entire home/apt,134,1,143,2022-09-17,4.61,4,352,63,2020-1072,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Clean & Spacious 3BR In Family Neighborhood,83430852,Chase,,Clintonville,40.06417,-83.01404,Entire home/apt,145,1,135,2022-09-10,4.29,4,353,51,2020-1068,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
~Stylish Polaris 2BR ~ Washer/Dryer + WiFi + Gym + Pool!~,27280979,Jesse,,Far North,40.14279,-82.95537,Entire home/apt,149,28,23,2020-12-04,0.68,37,352,0,,43082,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Housepitality - The Southern Orchards Cottage,26958698,Benjamin,,Near South,39.93771,-82.9781,Entire home/apt,137,1,33,2022-08-16,1.03,107,364,15,2021-3614,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
~~Polaris 2BR w/Stunning Ravine-View Balcony~~,27280979,Jesse,,Far North,40.14338,-82.95599,Entire home/apt,149,28,11,2021-07-31,0.33,37,0,0,,43082,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
The Short North Urban Cottage - Private Parking!!!,194281106,Nicole,,Near North/University,39.98267,-82.9972,Entire home/apt,113,2,221,2022-09-18,6.64,23,158,92,2021-3047,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Downtown • Welcome to the Jungle - Cali King Bed • Free Parking • Short North • Convention Center,109117484,Sergio,,Near North/University,39.97589,-83.01057,Entire home/apt,163,1,334,2022-09-16,9.89,10,350,122,2021-2510,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Anderson Estate- Near Downtown- Fast Wi-Fi,14051607,Paul,,Near East,39.95964,-82.96562,Entire home/apt,154,2,84,2022-08-02,2.64,1,82,31,2019-2979,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
5 🌟 Comfort & Convenience! Minutes to Downtown/OSU,44467878,Joe,,West Olentangy,39.98778,-83.04157,Entire home/apt,77,1,291,2022-09-18,9.13,4,38,127,2021-2720,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
💚The Emerald Loft 💚 Free Garage Parking + Gym + Washer/Dryer!,27280979,Jesse,,Franklinton,39.95503,-83.01212,Entire home/apt,149,30,22,2022-05-27,0.66,37,262,1,2019-3538,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Beauty by the airport,316836629,Susan,,Northeast,39.98721,-82.93024,Entire home/apt,89,2,146,2022-09-18,4.58,1,241,47,2020-1091,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Short North 1 Bed Retreat ♥ Walk to Heart of City,235497311,Marc (TailwindSTR),,Near North/University,39.9765,-83.00536,Entire home/apt,93,1,240,2022-09-15,7.17,41,24,100,2019-2094,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Downtown Luxury Apartment on the Columbus Commons,224493353,Dom,,Downtown,39.96037,-83.00077,Entire home/apt,250,2,93,2022-09-15,2.8,17,335,31,2022-6411,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
~Modern Polaris 2BR w/Balcony + Washer/Dryer + Gym!~,27280979,Jesse,,Far North,40.14333,-82.95647,Entire home/apt,129,28,7,2020-05-31,0.21,37,290,0,,43082,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cozy Private Townhouse, Stroll to Short North!",254455153,StayArbor,,Near North/University,39.98266,-83.01043,Entire home/apt,158,3,31,2022-09-05,0.95,2,52,9,2019-3606,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
PrivateParking/Entrance_OSU/ExpoCentr 9A Renovated,249951812,Jessie,,Near North/University,39.99529,-82.99595,Entire home/apt,92,1,91,2022-09-11,2.74,19,93,30,2021-3142,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Modern Organic Oasis: Townhome in German Village,10776491,Catherine & Bryan,,Near South,39.94784,-82.99767,Entire home/apt,297,2,83,2022-09-12,2.63,4,237,44,2019-2362,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Maple Oasis,27108786,Jannette,,Northland,40.09591,-82.96131,Entire home/apt,155,2,104,2022-08-14,3.41,3,309,19,2020-1104,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
~Peaceful Polaris 2BR w/Fast WiFi + Washer + Dryer~,27280979,Jesse,,Far North,40.14361,-82.95605,Entire home/apt,149,28,14,2020-09-26,0.42,37,325,0,,43082,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Charming Grove City/Columbus House- Sleeps 8,154336191,Jara,,Greenlawn/Frank Road,39.89018,-83.06956,Entire home/apt,144,2,143,2022-09-18,4.34,2,61,68,,43123,"26,409","25,432",977,6.2,"183,400","1,483","1,075","18,881","25,373","23,044","2,329",6.1,"148,600","1,452",891,"16,441","75,644","92,048","63,567","73,428"
Amazing Apartment in the Heart of Downtown,224493353,Dom,,Downtown,39.95873,-83.00017,Entire home/apt,134,2,136,2022-09-18,4.12,17,337,49,2022-9134,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Entire 2-Unit Duplex in Charming German Village,10776491,Catherine & Bryan,,Near South,39.94709,-82.99655,Entire home/apt,681,2,19,2022-09-04,0.61,4,161,8,2019-2362,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
★ City View 2BR Apt w/WiFi + Garage Parking + Laundry ★,27280979,Jesse,,Franklinton,39.95684,-83.01122,Entire home/apt,138,30,16,2020-09-30,0.49,37,226,0,2019-3539,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
~The King's Flat w/Free Garage Parking + Washer/Dryer + Fast WiFi!~,27280979,Jesse,,Franklinton,39.95492,-83.01083,Entire home/apt,109,30,12,2022-01-15,0.37,37,256,1,2019-3537,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Beautiful Two Story Home “Home Away From Home”,324405685,Tressa,,Near South,39.94244,-82.97592,Entire home/apt,76,3,15,2022-08-05,0.91,1,161,8,2021-1799,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
The Blue House 4BR 2BA Historic Home,111656450,Jade,,Westland,39.88286,-83.09614,Entire home/apt,163,2,113,2022-09-11,3.56,1,45,57,,43123,"26,409","25,432",977,6.2,"183,400","1,483","1,075","18,881","25,373","23,044","2,329",6.1,"148,600","1,452",891,"16,441","75,644","92,048","63,567","73,428"
Cozy North Columbus 10 min from Airport,216909466,Tracy,,North Linden,40.01508,-82.95313,Entire home/apt,185,1,71,2022-08-28,2.28,1,358,34,2020-3928,43129,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
The Short North Arches Studio—CONVENTION CTR/ARENA,116400313,Nate,,Near North/University,39.97467,-83.00347,Entire home/apt,113,2,27,2022-07-20,0.99,25,165,15,2021-2791,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Walkable Designer Loft w/Parking + Washer/Dryer!,27280979,Jesse,,Franklinton,39.95649,-83.01069,Entire home/apt,129,30,26,2022-01-10,0.8,37,363,1,2019-3542,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Serene and Tranquility,130054171,Melissa,,Southeast,39.85384,-82.81751,Entire home/apt,146,2,99,2022-08-21,3.08,1,175,33,,43110,"16,476",s,692,5.5,"182,000","1,459",998,"9,310","14,378","13,253","1,125",5.6,"157,200","1,480",890,"8,531","62,489","82,516","65,933","77,562"
★Luxury King w/Free Parking + WiFi + Washer/Dryer!★,27280979,Jesse,,Franklinton,39.9573,-83.01186,Entire home/apt,119,30,11,2021-01-09,0.34,37,78,0,2019-3541,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Long St Manor,217319476,Karen,,Near East,39.96821,-82.96657,Entire home/apt,96,1,34,2022-09-05,1.06,4,320,10,2019-2519,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
★River View Flat - Modern 1BR w/Parking +Laundry!★,27280979,Jesse,,Franklinton,39.95709,-83.01055,Entire home/apt,109,30,16,2020-11-14,0.5,37,250,0,2019-3540,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Lux Carriage House—Short North/Convention Center,116400313,Nate,,Near North/University,39.97789,-83.00714,Entire home/apt,227,2,20,2022-07-24,0.84,25,168,17,2021-2796,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
"3 bedroom 1.5 bath, luxurious and stately home",290555110,Omolara,,Near South,39.94896,-82.9781,Entire home/apt,125,1,8,2020-07-12,0.27,6,0,0,2020-1258,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Small Cottage in German Village Area,34061514,Austin,,Near South,39.94279,-82.98707,Entire home/apt,129,1,85,2022-08-28,2.67,1,0,23,2019-3435,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
"Classic, Peaceful Flat in Great Location!",94337607,Alezah,,Far North,40.11593,-82.92483,Entire home/apt,96,1,102,2022-09-12,3.15,9,305,66,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
The Wilson Manor - Mins to Hospital / Downtown!,115836608,Erich,,Near South,39.94301,-82.96852,Entire home/apt,134,2,21,2022-09-18,3.26,24,8,21,2022-1201,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Grand Opening Stunner Close to All Things Columbus,16507907,Brian,,Clintonville,40.03089,-83.02337,Entire home/apt,189,2,56,2022-08-23,1.77,2,322,20,2020-1226,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Housepitality - The City Cottage - Unique | Cozy,26958698,Benjamin,,Franklinton,39.95811,-83.0249,Entire home/apt,115,30,43,2022-09-15,1.37,107,357,21,2021-3165,43222,"2,249","1,956",293,5.0,"68,300","1,540",554,401,"1,838","1,307",531,5.7,"54,200",774,719,442,"14,455",-,"21,083","21,215"
Nice Cozy Quiet Location,319060373,Emmanuel,,Northeast,40.02568,-82.93206,Private room,25,30,4,2022-08-15,0.22,1,314,3,,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Gas Grill | Private Backyard | Amazing Kitchen!,8963103,Sarah,,Near North/University,39.98312,-83.00794,Entire home/apt,173,2,91,2022-09-18,2.99,33,140,23,2021-2991,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
💎2BR/1BA w Tempur Pedic bed⭐️Backyard✔New Kitchen,175883174,Michael,,Near North/University,40.01538,-83.00058,Entire home/apt,88,2,132,2022-09-08,4.13,3,150,38,2020-1107,43211,"10,296","8,714","1,582",5.2,"58,200",795,871,"3,464","10,527","8,079","2,448",5.3,"57,500",853,762,"3,022","28,610","32,010","23,710","25,253"
Housepitality - The Azure Cottage - OSU/Old North,26958698,Benjamin,,Near North/University,40.0176,-83.00987,Entire home/apt,164,1,51,2022-08-17,1.59,107,86,16,2021-3263,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Anna Paradise # 5,275084618,Judy,,Northland,40.06479,-82.98205,Private room,39,4,26,2022-08-10,0.83,4,328,11,2019-2310,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
Short North Kennels - ELVIS SUITE,286705292,Jon,,Near North/University,39.98746,-83.00525,Entire home/apt,236,1,188,2022-09-19,5.9,2,338,85,Exempt,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Standard Room - Full Service B&B,175078890,50 Lincoln,,Near North/University,39.97771,-83.00135,Private room,133,1,5,2022-06-14,0.22,3,293,2,2017-2672,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Standard Suite - Full Service B&B,175078890,50 Lincoln,,Near North/University,39.97759,-83.00143,Private room,133,1,2,2022-05-14,0.09,3,273,1,2017-2672,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
UA CBUS Private Bedroom with en suite Bath,211169136,Jennifer,,West Olentangy,40.0503696,-83.0605863,Private room,47,1,0,,,1,206,0,,43220,"13,160","12,475",685,5.4,"355,500","2,139","1,032","6,259","12,754","11,857",897,5.6,"257,600","1,720",864,"6,536","70,167","113,666","60,412","92,072"
"MODERN HOME, CLOSE TO EVERYTHING, HEPA FILTERED!",232811402,Pavel,,Northland,40.08027,-82.9639,Entire home/apt,191,1,110,2022-09-18,3.48,1,331,47,2019-3604,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
KMPSSBLINC Bed and breakfast-hub smoke free,314409197,Kimberly,,Eastmoor/Walnut Ridge,39.94187,-82.91164,Private room,100,1,0,,,1,0,0,Exempt,43227,"10,659","9,751",908,5.3,"86,300",922,898,"4,742","10,291","8,841","1,450",5.2,"80,300","1,020",777,"4,483","40,353","46,072","34,483","38,807"
Modern Downtown Luxury Apartment,224493353,Dom,,Downtown,39.9597,-83.00036,Entire home/apt,168,2,79,2022-09-13,2.56,17,324,37,2022-8851,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Victorian Village Villa - A Kid Friendly Place,315729151,Rachel,,Near North/University,39.98678,-83.01008,Entire home/apt,265,1,191,2022-09-05,6.12,4,169,62,2020-1175,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Short North Flat ✰ Full Ktchn, Walk to Everything!",235497311,Marc (TailwindSTR),,Near North/University,39.98593,-83.00241,Entire home/apt,102,1,160,2022-09-11,5.06,41,84,69,2020-1114,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Cozy Ohio State 1bd ⭐️ OVERLOOK High St FreeParking,235497311,Marc (TailwindSTR),,Near North/University,39.99548,-83.00613,Entire home/apt,95,1,191,2022-09-17,6.03,41,73,86,2022-2155,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Light House: Bedroom 1,205251265,Omo,,Hilltop,39.91241,-83.07817,Private room,46,2,39,2022-08-27,1.25,2,62,14,2020-1241,43123,"26,409","25,432",977,6.2,"183,400","1,483","1,075","18,881","25,373","23,044","2,329",6.1,"148,600","1,452",891,"16,441","75,644","92,048","63,567","73,428"
